start
| epoch   1 |  6000/17578 batches | lr 2.00000 | ms/batch 407.26 | loss 0.006 | bpc 0.009
| epoch   1 |  6100/17578 batches | lr 2.00000 | ms/batch 409.96 | loss 0.006 | bpc 0.009
| epoch   1 |  6200/17578 batches | lr 2.00000 | ms/batch 409.49 | loss 0.006 | bpc 0.009
| epoch   1 |  6300/17578 batches | lr 2.00000 | ms/batch 408.12 | loss 0.006 | bpc 0.009
| epoch   1 |  6400/17578 batches | lr 2.00000 | ms/batch 409.12 | loss 0.006 | bpc 0.009
| epoch   1 |  6500/17578 batches | lr 2.00000 | ms/batch 407.74 | loss 0.006 | bpc 0.009
| epoch   1 |  6600/17578 batches | lr 2.00000 | ms/batch 407.48 | loss 0.006 | bpc 0.009
| epoch   1 |  6700/17578 batches | lr 2.00000 | ms/batch 409.72 | loss 0.006 | bpc 0.009
| epoch   1 |  6800/17578 batches | lr 2.00000 | ms/batch 409.06 | loss 0.006 | bpc 0.009
| epoch   1 |  6900/17578 batches | lr 2.00000 | ms/batch 408.33 | loss 0.006 | bpc 0.009
| epoch   1 |  7000/17578 batches | lr 2.00000 | ms/batch 409.14 | loss 0.006 | bpc 0.009
| epoch   1 |  7100/17578 batches | lr 2.00000 | ms/batch 409.77 | loss 0.006 | bpc 0.009
| epoch   1 |  7200/17578 batches | lr 2.00000 | ms/batch 407.52 | loss 0.006 | bpc 0.009
| epoch   1 |  7300/17578 batches | lr 2.00000 | ms/batch 409.64 | loss 0.006 | bpc 0.009
| epoch   1 |  7400/17578 batches | lr 2.00000 | ms/batch 409.48 | loss 0.006 | bpc 0.009
| epoch   1 |  7500/17578 batches | lr 2.00000 | ms/batch 409.37 | loss 0.006 | bpc 0.009
| epoch   1 |  7600/17578 batches | lr 2.00000 | ms/batch 409.53 | loss 0.006 | bpc 0.009
| epoch   1 |  7700/17578 batches | lr 2.00000 | ms/batch 410.30 | loss 0.006 | bpc 0.009
| epoch   1 |  7800/17578 batches | lr 2.00000 | ms/batch 408.53 | loss 0.006 | bpc 0.009
| epoch   1 |  7900/17578 batches | lr 2.00000 | ms/batch 406.14 | loss 0.006 | bpc 0.009
| epoch   1 |  8000/17578 batches | lr 2.00000 | ms/batch 408.36 | loss 0.006 | bpc 0.009
| epoch   1 |  8100/17578 batches | lr 2.00000 | ms/batch 406.71 | loss 0.006 | bpc 0.009
| epoch   1 |  8200/17578 batches | lr 2.00000 | ms/batch 409.84 | loss 0.006 | bpc 0.009
| epoch   1 |  8300/17578 batches | lr 2.00000 | ms/batch 409.30 | loss 0.006 | bpc 0.009
| epoch   1 |  8400/17578 batches | lr 2.00000 | ms/batch 409.77 | loss 0.006 | bpc 0.009
| epoch   1 |  8500/17578 batches | lr 2.00000 | ms/batch 403.70 | loss 0.006 | bpc 0.009
| epoch   1 |  8600/17578 batches | lr 2.00000 | ms/batch 407.15 | loss 0.006 | bpc 0.009
| epoch   1 |  8700/17578 batches | lr 2.00000 | ms/batch 409.78 | loss 0.006 | bpc 0.009
| epoch   1 |  8800/17578 batches | lr 2.00000 | ms/batch 407.46 | loss 0.006 | bpc 0.009
| epoch   1 |  8900/17578 batches | lr 2.00000 | ms/batch 407.51 | loss 0.006 | bpc 0.009
| epoch   1 |  9000/17578 batches | lr 2.00000 | ms/batch 409.69 | loss 0.006 | bpc 0.009
| epoch   1 |  9100/17578 batches | lr 2.00000 | ms/batch 407.30 | loss 0.006 | bpc 0.009
| epoch   1 |  9200/17578 batches | lr 2.00000 | ms/batch 408.37 | loss 0.006 | bpc 0.009
| epoch   1 |  9300/17578 batches | lr 2.00000 | ms/batch 407.18 | loss 0.006 | bpc 0.009
| epoch   1 |  9400/17578 batches | lr 2.00000 | ms/batch 407.37 | loss 0.006 | bpc 0.009
| epoch   1 |  9500/17578 batches | lr 2.00000 | ms/batch 409.50 | loss 0.006 | bpc 0.009
| epoch   1 |  9600/17578 batches | lr 2.00000 | ms/batch 409.92 | loss 0.006 | bpc 0.009
| epoch   1 |  9700/17578 batches | lr 2.00000 | ms/batch 409.24 | loss 0.006 | bpc 0.009
| epoch   1 |  9800/17578 batches | lr 2.00000 | ms/batch 408.33 | loss 0.006 | bpc 0.009
| epoch   1 |  9900/17578 batches | lr 2.00000 | ms/batch 409.67 | loss 0.006 | bpc 0.009
| epoch   1 | 10000/17578 batches | lr 2.00000 | ms/batch 406.87 | loss 0.006 | bpc 0.009
| epoch   1 | 10100/17578 batches | lr 2.00000 | ms/batch 409.71 | loss 0.006 | bpc 0.009
| epoch   1 | 10200/17578 batches | lr 2.00000 | ms/batch 409.64 | loss 0.006 | bpc 0.009
| epoch   1 | 10300/17578 batches | lr 2.00000 | ms/batch 409.59 | loss 0.006 | bpc 0.009
| epoch   1 | 10400/17578 batches | lr 2.00000 | ms/batch 409.44 | loss 0.006 | bpc 0.009
| epoch   1 | 10500/17578 batches | lr 2.00000 | ms/batch 409.61 | loss 0.006 | bpc 0.009
| epoch   1 | 10600/17578 batches | lr 2.00000 | ms/batch 410.08 | loss 0.006 | bpc 0.009
| epoch   1 | 10700/17578 batches | lr 2.00000 | ms/batch 409.35 | loss 0.006 | bpc 0.009
| epoch   1 | 10800/17578 batches | lr 2.00000 | ms/batch 409.71 | loss 0.006 | bpc 0.009
| epoch   1 | 10900/17578 batches | lr 2.00000 | ms/batch 409.28 | loss 0.006 | bpc 0.009
| epoch   1 | 11000/17578 batches | lr 2.00000 | ms/batch 409.72 | loss 0.006 | bpc 0.009
| epoch   1 | 11100/17578 batches | lr 2.00000 | ms/batch 410.37 | loss 0.006 | bpc 0.009
| epoch   1 | 11200/17578 batches | lr 2.00000 | ms/batch 407.19 | loss 0.006 | bpc 0.009
| epoch   1 | 11300/17578 batches | lr 2.00000 | ms/batch 407.67 | loss 0.006 | bpc 0.009
| epoch   1 | 11400/17578 batches | lr 2.00000 | ms/batch 408.75 | loss 0.006 | bpc 0.009
| epoch   1 | 11500/17578 batches | lr 2.00000 | ms/batch 408.39 | loss 0.006 | bpc 0.009
| epoch   1 | 11600/17578 batches | lr 2.00000 | ms/batch 409.21 | loss 0.006 | bpc 0.008
| epoch   1 | 11700/17578 batches | lr 2.00000 | ms/batch 409.48 | loss 0.006 | bpc 0.009
| epoch   1 | 11800/17578 batches | lr 2.00000 | ms/batch 409.46 | loss 0.006 | bpc 0.009
| epoch   1 | 11900/17578 batches | lr 2.00000 | ms/batch 409.72 | loss 0.006 | bpc 0.009
| epoch   1 | 12000/17578 batches | lr 2.00000 | ms/batch 410.21 | loss 0.006 | bpc 0.009
| epoch   1 | 12100/17578 batches | lr 2.00000 | ms/batch 407.01 | loss 0.006 | bpc 0.009
| epoch   1 | 12200/17578 batches | lr 2.00000 | ms/batch 409.82 | loss 0.006 | bpc 0.008
| epoch   1 | 12300/17578 batches | lr 2.00000 | ms/batch 410.08 | loss 0.006 | bpc 0.009
| epoch   1 | 12400/17578 batches | lr 2.00000 | ms/batch 407.33 | loss 0.006 | bpc 0.008
| epoch   1 | 12500/17578 batches | lr 2.00000 | ms/batch 409.04 | loss 0.006 | bpc 0.009
| epoch   1 | 12600/17578 batches | lr 2.00000 | ms/batch 407.84 | loss 0.006 | bpc 0.008
| epoch   1 | 12700/17578 batches | lr 2.00000 | ms/batch 409.62 | loss 0.006 | bpc 0.008
| epoch   1 | 12800/17578 batches | lr 2.00000 | ms/batch 409.15 | loss 0.006 | bpc 0.009
| epoch   1 | 12900/17578 batches | lr 2.00000 | ms/batch 406.04 | loss 0.006 | bpc 0.008
| epoch   1 | 13000/17578 batches | lr 2.00000 | ms/batch 409.39 | loss 0.006 | bpc 0.009
| epoch   1 | 13100/17578 batches | lr 2.00000 | ms/batch 408.31 | loss 0.006 | bpc 0.008
| epoch   1 | 13200/17578 batches | lr 2.00000 | ms/batch 407.85 | loss 0.006 | bpc 0.008
| epoch   1 | 13300/17578 batches | lr 2.00000 | ms/batch 408.67 | loss 0.006 | bpc 0.008
| epoch   1 | 13400/17578 batches | lr 2.00000 | ms/batch 408.82 | loss 0.006 | bpc 0.008
| epoch   1 | 13500/17578 batches | lr 2.00000 | ms/batch 408.66 | loss 0.006 | bpc 0.009
| epoch   1 | 13600/17578 batches | lr 2.00000 | ms/batch 409.80 | loss 0.006 | bpc 0.008
| epoch   1 | 13700/17578 batches | lr 2.00000 | ms/batch 409.24 | loss 0.006 | bpc 0.008
| epoch   1 | 13800/17578 batches | lr 2.00000 | ms/batch 409.76 | loss 0.006 | bpc 0.008
| epoch   1 | 13900/17578 batches | lr 2.00000 | ms/batch 409.44 | loss 0.006 | bpc 0.008
| epoch   1 | 14000/17578 batches | lr 2.00000 | ms/batch 409.74 | loss 0.006 | bpc 0.008
| epoch   1 | 14100/17578 batches | lr 2.00000 | ms/batch 407.28 | loss 0.006 | bpc 0.009
| epoch   1 | 14200/17578 batches | lr 2.00000 | ms/batch 409.51 | loss 0.006 | bpc 0.008
| epoch   1 | 14300/17578 batches | lr 2.00000 | ms/batch 408.09 | loss 0.006 | bpc 0.009
| epoch   1 | 14400/17578 batches | lr 2.00000 | ms/batch 409.57 | loss 0.006 | bpc 0.008
| epoch   1 | 14500/17578 batches | lr 2.00000 | ms/batch 409.37 | loss 0.006 | bpc 0.009
| epoch   1 | 14600/17578 batches | lr 2.00000 | ms/batch 409.61 | loss 0.006 | bpc 0.008
| epoch   1 | 14700/17578 batches | lr 2.00000 | ms/batch 409.36 | loss 0.006 | bpc 0.009
| epoch   1 | 14800/17578 batches | lr 2.00000 | ms/batch 407.75 | loss 0.006 | bpc 0.008
| epoch   1 | 14900/17578 batches | lr 2.00000 | ms/batch 409.54 | loss 0.006 | bpc 0.008
| epoch   1 | 15000/17578 batches | lr 2.00000 | ms/batch 409.71 | loss 0.006 | bpc 0.008
| epoch   1 | 15100/17578 batches | lr 2.00000 | ms/batch 409.51 | loss 0.006 | bpc 0.009
| epoch   1 | 15200/17578 batches | lr 2.00000 | ms/batch 409.48 | loss 0.006 | bpc 0.008
| epoch   1 | 15300/17578 batches | lr 2.00000 | ms/batch 409.83 | loss 0.006 | bpc 0.008
| epoch   1 | 15400/17578 batches | lr 2.00000 | ms/batch 408.16 | loss 0.006 | bpc 0.008
| epoch   1 | 15500/17578 batches | lr 2.00000 | ms/batch 409.66 | loss 0.006 | bpc 0.008
| epoch   1 | 15600/17578 batches | lr 2.00000 | ms/batch 406.86 | loss 0.006 | bpc 0.008
| epoch   1 | 15700/17578 batches | lr 2.00000 | ms/batch 411.63 | loss 0.006 | bpc 0.008
| epoch   1 | 15800/17578 batches | lr 2.00000 | ms/batch 407.29 | loss 0.006 | bpc 0.008
| epoch   1 | 15900/17578 batches | lr 2.00000 | ms/batch 407.95 | loss 0.006 | bpc 0.008
| epoch   1 | 16000/17578 batches | lr 2.00000 | ms/batch 409.36 | loss 0.006 | bpc 0.008
| epoch   1 | 16100/17578 batches | lr 2.00000 | ms/batch 408.59 | loss 0.006 | bpc 0.008
| epoch   1 | 16200/17578 batches | lr 2.00000 | ms/batch 408.91 | loss 0.006 | bpc 0.008
| epoch   1 | 16300/17578 batches | lr 2.00000 | ms/batch 408.04 | loss 0.006 | bpc 0.008
| epoch   1 | 16400/17578 batches | lr 2.00000 | ms/batch 408.97 | loss 0.006 | bpc 0.009
| epoch   1 | 16500/17578 batches | lr 2.00000 | ms/batch 407.88 | loss 0.006 | bpc 0.009
| epoch   1 | 16600/17578 batches | lr 2.00000 | ms/batch 409.24 | loss 0.006 | bpc 0.008
| epoch   1 | 16700/17578 batches | lr 2.00000 | ms/batch 409.92 | loss 0.006 | bpc 0.008
| epoch   1 | 16800/17578 batches | lr 2.00000 | ms/batch 409.69 | loss 0.006 | bpc 0.008
| epoch   1 | 16900/17578 batches | lr 2.00000 | ms/batch 407.33 | loss 0.006 | bpc 0.008
| epoch   1 | 17000/17578 batches | lr 2.00000 | ms/batch 408.22 | loss 0.006 | bpc 0.008
| epoch   1 | 17100/17578 batches | lr 2.00000 | ms/batch 409.34 | loss 0.006 | bpc 0.008
| epoch   1 | 17200/17578 batches | lr 2.00000 | ms/batch 409.16 | loss 0.006 | bpc 0.008
| epoch   1 | 17300/17578 batches | lr 2.00000 | ms/batch 409.32 | loss 0.006 | bpc 0.008
| epoch   1 | 17400/17578 batches | lr 2.00000 | ms/batch 405.95 | loss 0.006 | bpc 0.009
| epoch   1 | 17500/17578 batches | lr 2.00000 | ms/batch 409.74 | loss 0.006 | bpc 0.009
-----------------------------------------------------------------------------------------
| End of epoch   1 | valid loss 0.005 | valid bpc    0.008
=========================================================================================
| End of epoch   1 | test loss 0.006 | test bpc    0.008
=========================================================================================
| epoch   2 |   100/17578 batches | lr 2.00000 | ms/batch 410.61 | loss 0.006 | bpc 0.008
